IDALU,SEXO,ESTUDIMARE,ESTUDIPARE,GUARDERIA,REPITE,TESTUDIO,AYUDAPADRES,SINAYUDA,MARGINADO,SOCIABLE,INTEGRADO,INCOMODO,SOLO,ACOSADO,ISEC,MediaLengua,MediaMates,mediaFisica,MediaSYC,CAEBIEN
6242,2,6,6,2,0,1,0,1,1,3,3,9,1,1,-1.18621,431.3480656,394.3437394,464.2071268,430.6860894,1
2117,1,7,8,6,0,3,0,0,1,4,1,1,1,1,-1.87759,326.709571,428.319753,349.1760752,246.2563812,1
23872,2,4,4,3,1,4,0,0,3,3,3,3,3,3,-0.7822,456.9265404,485.9152582,527.6221756,552.5949068,1
27225,1,8,8,4,1,4,1,0,1,4,4,1,1,2,0.58515,537.9164738,443.4499038,608.2918306,603.583198,1
10618,1,4,4,3,1,1,0,1,1,3,3,2,1,1,-0.43163,607.3792558,402.1968288,468.767994,687.9716412,1
24185,2,1,1,1,1,4,1,0,1,4,4,1,1,1,1.81735,547.562906,593.3029418,568.9036238,545.8815052,1
15695,1,1,6,3,1,2,1,0,3,2,2,2,2,2,0.94238,577.8592214,578.3773498,693.8646652,669.9253376,0
15951,2,6,6,4,0,2,1,0,1,3,3,2,2,2,-0.17712,520.2425818,453.823666,442.3671148,562.8549826,1
24397,2,8,8,2,1,3,0,0,1,3,4,1,1,1,0.85502,518.5892192,508.412969,377.7299552,563.7131754,1
13243,2,6,6,2,0,2,0,1,1,4,4,2,1,1,-0.77528,380.6121868,328.701263,437.5924758,396.710154,1
21047,1,6,8,3,1,3,0,0,1,3,3,1,1,1,-0.37264,551.2718422,499.2666782,566.3717384,588.0869178,0
861,1,4,7,1,1,2,0,0,2,3,2,2,2,2,0.97559,528.42186,474.628098,388.9798312,548.8282954,0
25399,2,8,8,2,0,3,0,0,2,4,4,1,1,2,1.18464,518.048813,464.9131466,472.446654,419.5694918,1
21398,1,6,7,2,1,3,0,1,1,4,4,1,1,1,-0.11676,649.3976638,459.87535,608.8439694,643.0567446,1
13040,2,1,6,2,1,3,1,0,1,3,9,1,1,2,0.10768,398.481722,472.17576,445.8634674,390.8211914,1
21126,2,6,4,2,1,1,0,0,1,3,4,1,1,1,-1.04338,433.2973324,478.3526664,444.1748144,489.2432292,1
28916,2,8,8,1,1,4,0,0,1,3,3,1,1,1,0.63777,471.011783,473.42009,505.3596476,542.5267504,1
15530,2,9,4,4,1,3,0,0,1,4,4,2,1,1,0.03136,400.1023116,506.0036722,471.745369,477.0754922,1
28516,2,6,3,1,1,3,0,1,1,4,4,1,1,1,0.99233,664.4272318,700.872579,734.1335272,543.1491238,1
22846,2,2,1,2,1,3,1,0,2,3,3,2,1,2,1.22369,655.3201448,626.6226202,697.921501,646.3721524,1
1644,2,8,8,3,1,3,1,1,2,3,3,2,2,9,0.54437,492.9407814,,225.6068562,,1
25670,1,6,7,3,1,3,0,0,1,4,3,1,1,2,-0.77528,390.6253326,402.9331986,475.8469796,474.979373,1
5230,2,8,8,2,1,2,0,1,1,3,3,1,1,1,0.92559,604.930639,692.9459042,639.755875,486.3084006,1
977,1,4,2,2,1,4,1,0,1,3,3,2,1,1,0.86918,612.4382098,610.7805484,631.4391078,596.2426764,1
5136,1,8,6,3,0,4,0,1,1,3,3,1,1,1,-1.92912,434.1379546,455.369166,390.597117,567.253389,1
7893,2,6,6,2,0,3,1,0,1,4,4,1,1,1,-0.5219,429.8219922,583.0796878,491.3429794,492.1540624,1
2456,2,9,9,4,0,1,0,1,1,4,1,1,1,4,-0.89136,445.443446,,395.3903916,,1
27710,2,3,2,3,1,2,0,1,1,4,4,1,1,1,0.46655,549.2949424,552.0910328,556.487405,603.38682,1
23824,1,8,8,5,0,4,0,0,2,2,2,2,2,2,-1.30675,371.1357146,525.9025666,470.4818216,545.6879654,1
23722,2,1,1,2,1,3,1,0,1,4,4,1,1,1,1.40642,568.001823,569.079323,572.137228,502.8782976,1
25815,2,4,4,3,1,2,1,0,1,4,4,1,1,1,0.97559,582.1795324,478.9758314,554.5288692,507.6821136,1
2020,2,8,6,9,1,4,1,0,1,3,4,1,1,1,-1.03066,638.970993,516.2369666,560.8235856,419.1509606,1
8451,1,4,4,2,1,3,1,0,1,4,4,1,1,1,0.99233,535.3354788,538.2903448,396.8046136,491.3382906,1
3355,1,1,1,2,1,4,1,0,1,3,3,1,1,2,1.81735,522.3845792,608.0611764,462.5868152,455.0230914,1
19180,1,9,4,5,0,3,1,0,1,2,2,1,1,1,-1.04338,,,504.234623,,1
12981,2,8,8,3,1,3,0,1,1,3,3,1,1,1,-0.18254,440.9447824,565.434073,515.7147422,468.6952646,1
7439,2,8,6,2,1,3,0,0,1,4,3,1,1,1,0.25399,388.8259786,478.1375112,297.7917632,328.5048108,1
8304,2,8,8,2,1,2,0,0,1,3,3,2,1,1,0.04252,414.1997718,579.678902,544.3630152,513.1288384,1
15047,1,6,6,9,0,1,0,1,1,3,3,2,1,1,-1.04475,477.0915822,415.8657436,630.3324156,446.8402944,1
6535,1,1,3,3,1,3,1,0,1,3,4,1,1,1,0.77449,596.462588,568.1561618,577.162576,606.1252374,1
13579,2,6,2,3,1,4,0,0,1,4,3,1,1,1,0.41013,489.180054,462.1864618,484.5959928,470.1484212,1
19136,2,7,9,5,0,2,0,1,4,2,3,2,4,1,-1.87759,294.4036724,,386.008773,,0
26248,2,8,8,3,0,2,0,0,1,3,3,1,1,1,-0.24104,523.3586718,503.0004766,491.4468032,557.8526942,1
28053,2,2,2,2,1,4,1,0,1,3,4,1,1,1,1.46284,421.8972416,630.2238464,655.7007794,705.3199736,1
16349,1,4,1,2,1,3,1,0,1,4,4,1,1,1,1.06865,579.153291,553.1348726,515.5503714,599.134694,1
10280,1,3,4,1,1,3,1,0,1,4,3,2,1,1,0.03136,626.18714,539.1141334,631.174407,597.695627,1
26453,2,8,8,3,1,3,0,0,1,3,3,2,1,1,0.159,450.3889574,504.482493,530.3796302,468.2548284,1
18473,1,4,5,3,0,4,1,0,1,4,4,1,1,1,-0.71156,516.2514032,448.5711962,442.0215658,510.6355158,1
19144,2,8,9,3,1,3,0,0,1,3,3,1,1,1,-0.76334,617.7329094,461.4550096,555.8202476,574.1871174,1
15798,2,5,5,3,0,2,1,0,1,3,3,2,2,2,0.33381,459.307783,450.4000992,428.6680354,441.1900876,1
5612,1,1,7,1,1,2,1,0,1,3,3,1,1,1,-1.03787,393.0132084,424.8047274,437.0683134,513.587926,1
8760,1,8,8,3,1,1,0,0,1,3,4,1,1,1,0.10398,396.8867484,489.7114102,424.5628012,499.9408628,1
16047,2,8,8,3,0,3,0,1,1,4,4,1,1,1,-1.06531,429.3981762,461.2820376,481.1425378,472.0280586,1
9702,1,2,8,1,1,2,1,0,2,3,3,2,2,2,0.77449,586.3004588,665.3272306,674.1451162,614.0422718,1
18659,1,6,6,4,1,5,0,0,2,4,4,1,3,3,-1.11556,,498.297162,478.8710322,449.1663548,0
27742,1,8,8,3,0,4,0,1,1,4,3,2,1,1,-0.30574,461.4269306,509.1234346,488.8670036,461.7285434,1
26226,2,1,1,2,0,3,0,1,2,4,3,2,2,2,1.81735,535.5789494,463.5377002,652.5487222,500.5568404,1
8467,2,6,6,3,1,2,0,1,1,3,4,2,2,1,-0.18991,491.1053678,539.0889674,570.2577724,549.4509556,1
1689,1,2,2,1,1,5,1,0,1,4,4,1,1,1,1.12506,473.0589688,467.7093078,518.7433026,605.483532,1
15499,1,6,4,2,0,2,1,0,2,2,2,2,3,2,-0.49841,383.758843,477.7816048,374.1412142,279.2079868,0
19362,2,4,2,2,1,3,0,1,1,4,4,1,1,1,1.12506,614.8465792,540.9560838,666.3029658,543.3864312,1
4356,2,6,5,2,0,1,0,0,2,3,3,1,2,1,-0.37127,452.1949812,,502.4409314,494.2735466,0
17217,9,4,1,5,0,3,1,0,1,4,4,1,2,1,0.11598,455.722033,540.5991626,547.132461,587.8569404,1
24045,1,2,2,1,1,4,1,0,1,3,3,1,1,1,1.46284,609.3462454,617.9424448,603.1220144,553.8489426,1
15884,1,9,1,2,1,2,1,0,1,2,3,1,2,2,0.55158,543.6476342,568.4539222,472.1895236,375.0938652,0
13061,1,7,7,2,0,2,0,0,1,3,3,1,1,1,-1.46666,337.7180564,478.0288914,411.2400678,382.8764636,1
6860,2,6,1,3,1,2,0,0,1,4,4,1,1,1,0.41013,429.7460972,475.6546426,502.00703,487.559458,1
20006,2,6,7,1,1,2,0,1,1,3,4,1,1,1,-0.77528,473.6014672,415.0817582,463.2446338,448.7399712,1
10514,2,8,8,3,1,2,0,0,1,4,4,1,1,1,0.2965,575.0972936,405.4997548,567.0468598,538.3348704,1
19638,2,2,3,3,1,3,1,0,2,2,1,4,3,3,0.70134,533.006471,424.9611042,487.7673218,512.5172894,0
6449,1,6,6,1,1,4,1,0,1,4,4,1,1,1,-0.10052,565.0796508,530.2757608,564.089107,534.7536842,1
26989,1,1,1,2,1,4,0,1,1,3,4,1,1,1,1.12506,707.6437582,753.2411972,695.676274,652.0458078,1
27246,1,8,8,3,1,1,1,0,1,4,4,4,4,1,0.84142,402.5907534,375.1132964,388.7729158,374.8673694,1
22927,1,1,1,2,1,1,0,1,3,1,2,3,4,1,0.14895,339.8561848,175.7546002,176.3755502,369.8359104,1
13276,1,1,8,3,1,3,1,0,1,2,3,1,1,1,0.10768,446.042024,496.9379218,426.3917252,370.039841,1
28090,1,4,6,3,1,4,1,0,1,2,3,2,1,1,0.28724,593.1751818,513.304665,485.0012512,518.172263,1
20256,2,3,2,3,1,4,1,0,2,3,3,2,2,2,0.86918,503.3065486,591.764438,434.816574,521.3385206,1
12346,1,8,1,4,0,3,0,0,2,4,3,2,9,3,-1.03787,,,442.84111,475.3547886,1
25986,1,4,6,1,1,4,0,1,1,3,4,1,1,1,0.03136,516.4774522,523.514081,484.0737736,582.1828856,1
28259,2,8,8,1,1,3,1,0,1,3,3,1,1,1,-0.01019,403.82622,387.271315,435.2644792,391.2483978,1
15498,1,7,7,2,0,3,0,0,2,3,3,2,1,1,-1.47496,256.2647794,365.5829108,427.2986756,395.4575178,1
11588,1,5,5,4,1,3,0,0,2,3,3,3,3,1,0.99233,573.2610464,401.445991,526.3148092,611.9851082,1
2642,2,1,6,1,1,3,0,0,1,4,4,1,1,1,0.86918,472.8296032,477.5480528,484.9803592,381.8248132,1
19296,1,7,6,2,1,3,0,1,1,3,3,1,1,1,-0.85968,538.8639284,502.8450316,563.8634556,445.992869,1
6518,2,4,4,3,1,2,1,0,1,3,3,2,2,1,0.38193,612.0915138,450.0548168,492.1408984,415.5776886,1
16097,1,4,8,1,1,4,0,1,1,4,4,1,1,1,0.38193,601.2749984,510.086499,558.6067528,619.0952694,1
11707,2,6,6,3,1,4,0,1,1,3,3,2,2,1,-0.85968,518.0668768,543.5459696,401.8499266,448.118614,1
1785,1,6,6,1,0,2,0,0,1,4,3,1,3,1,-0.77528,523.761439,436.1834288,477.7788328,575.4621358,1
6209,1,9,2,3,1,3,1,0,2,3,3,2,2,2,0.71414,510.5424138,553.9178728,441.105878,496.3863006,1
16772,2,4,2,3,0,3,1,0,1,4,4,1,1,1,0.03158,552.6792406,536.8595376,617.2905964,592.0350334,1
26048,1,1,1,3,1,3,1,0,1,4,4,1,1,1,1.81735,577.4283914,506.8719926,486.6269546,622.8927988,1
13452,1,6,4,1,1,2,1,0,2,3,3,3,2,2,-0.37127,522.2116834,385.8968624,446.5337488,381.8039464,0
21780,2,6,6,9,1,4,1,0,1,4,4,1,1,1,-0.85968,598.2571606,495.8026154,488.6741596,478.7518882,1
16861,1,4,4,3,1,3,0,1,1,4,4,1,1,1,0.73644,490.904684,512.4413102,503.8063588,474.3103828,1
11720,1,2,5,3,1,3,0,1,1,4,4,1,1,1,0.86918,,460.150472,503.589423,664.4371986,1
9930,2,2,2,3,1,2,0,1,1,4,4,1,1,1,0.82106,521.0418186,593.152387,571.4528118,563.7430156,1
25410,1,3,1,3,1,3,1,0,1,3,4,1,1,1,1.81735,718.6067586,652.1680054,621.855773,654.7579568,1
16707,1,8,8,1,1,3,0,0,1,3,4,1,1,1,-1.18571,437.617391,456.7377708,505.4303322,573.3483438,1
24068,2,6,7,1,1,3,0,0,2,3,3,2,2,2,-0.11676,430.5789812,493.747461,422.0395002,549.8709152,0
16668,2,8,8,2,1,2,0,1,1,4,3,2,2,1,-1.00631,570.9273794,605.9148936,628.5141028,542.9479466,1
22687,2,8,8,6,0,1,0,1,1,3,4,1,1,4,-0.75705,330.6695056,445.1241758,451.5972464,462.3676056,1
19535,2,7,6,3,0,2,1,0,1,4,4,1,1,1,0.33244,365.0515046,303.3825708,396.6094974,464.8818702,1
64,1,8,8,2,0,4,0,0,1,3,3,2,1,1,-1.26063,386.062041,532.6467708,428.2178968,423.1103204,1
15889,1,3,2,3,1,4,0,1,1,3,3,1,1,1,0.03158,620.4977562,531.133431,392.2323304,530.8038792,1
13418,2,6,6,3,1,4,0,0,1,3,4,1,1,1,-0.85968,531.8057782,573.3715012,624.6535496,629.5939364,1
12301,2,9,9,1,1,5,1,0,1,4,4,1,1,1,-0.5355,490.1568304,309.5796752,479.570542,510.4429478,0
13253,2,6,6,4,0,3,0,1,1,4,4,1,1,1,-1.11556,326.6364916,348.854551,385.6024732,317.81456,1
7461,2,4,4,2,0,1,0,1,2,3,3,2,2,3,0.97559,417.3689782,,303.3110628,,1
6416,1,8,8,4,0,3,1,0,2,2,3,2,2,2,-0.22033,639.2086916,464.9009536,553.5952974,588.0293866,1
4407,2,1,1,1,1,3,0,0,1,4,4,1,1,1,1.12506,534.1748154,547.5604308,476.0681314,383.2522652,1
3885,2,6,7,3,0,3,0,1,1,4,1,1,1,1,-0.77528,397.1015472,491.14647,538.4654802,471.6151688,1
15423,1,1,1,5,1,5,0,0,1,4,3,2,1,1,1.22369,410.305175,528.0627944,420.6829566,345.7171486,1
23688,2,8,8,6,0,2,0,1,1,4,4,3,2,1,-1.61664,475.7382124,483.2547054,448.130655,398.1740988,1
3652,2,3,3,2,0,2,0,1,1,4,4,1,1,1,-0.37957,434.0202592,601.6986054,473.4253108,466.7625788,1
9039,2,6,6,1,0,2,0,1,1,1,4,1,1,1,0.16066,510.247621,491.5273638,447.2184978,494.0520246,1
21593,1,3,1,6,1,4,1,0,1,3,4,1,1,1,1.46284,624.5844872,508.039038,612.0096524,531.2090778,1
15131,1,9,9,2,1,4,1,0,1,3,3,1,1,1,1.00672,479.7031296,462.3245072,581.2533864,601.0566168,1
2197,1,9,9,1,1,4,1,0,1,3,3,1,1,1,1.31736,503.0882902,443.3803946,498.3430228,549.6672664,1
19475,2,8,2,3,0,2,0,0,1,3,3,2,3,2,-0.29495,389.8745744,371.2708748,451.3042096,384.1110604,0
11811,2,8,8,1,1,3,0,0,1,3,4,3,1,1,1.23006,584.4910486,503.2240788,604.2168844,519.6753966,1
4603,2,8,8,2,0,3,0,1,1,4,4,1,1,1,-0.11624,610.4963648,481.2598744,578.7559606,484.2109842,1
2471,1,4,2,1,1,3,0,0,1,4,4,2,1,1,0.86918,481.2711868,485.1503566,450.3657352,516.528016,1
5274,2,6,9,4,0,1,0,1,1,4,4,2,1,1,-0.78357,482.2322652,434.332139,514.8444106,462.1725458,1
25121,1,4,3,3,1,4,1,0,1,3,4,1,1,1,0.97559,641.8170252,586.7927564,576.212509,582.393224,1
9639,9,3,3,1,0,4,0,1,1,4,4,1,1,1,0.28724,486.9921204,517.0448054,454.6200196,466.9887182,1
10331,2,7,7,1,0,3,0,0,4,4,4,1,1,1,-1.47496,378.828623,261.6463124,444.8883436,321.9859774,1
17857,1,6,6,3,1,2,0,1,1,2,3,2,3,1,-1.04475,516.1053964,432.7669858,475.1413114,529.5195398,0
4662,2,8,8,3,1,3,0,1,1,2,4,1,1,1,0.59366,499.7472718,625.3914164,625.044665,589.7414404,1
12248,1,7,7,3,1,3,1,0,1,3,4,2,1,1,-1.47496,530.8732946,508.5242596,479.7342154,371.0895392,1
9363,1,1,5,3,1,3,1,0,1,3,3,1,1,1,0.86918,518.4194616,585.2989872,575.5582088,566.4520038,1
28131,2,1,1,1,1,3,1,0,1,3,4,1,1,9,1.06865,549.7530192,460.026429,687.1650296,497.0008094,1
26821,1,4,5,1,1,5,1,0,1,3,3,1,1,1,0.63781,555.7220488,526.6600146,657.1512728,548.1950928,1
1823,1,1,1,2,1,2,1,0,1,4,4,2,1,1,1.81735,683.0847558,648.021379,601.3859922,543.365218,1
25878,1,1,1,1,1,5,0,0,1,3,4,2,1,2,1.22369,549.5154518,429.196675,436.4822868,481.2645838,1
7638,1,8,8,5,1,3,1,0,1,4,4,1,1,1,-1.47118,489.926398,340.13162,451.0884446,474.1236976,1
11637,1,1,5,1,1,4,1,0,1,4,4,1,1,1,0.46655,555.417179,360.764799,429.8098456,639.6668916,1
6670,2,6,3,3,1,2,0,1,1,4,4,1,1,1,-0.7822,608.6817356,524.789483,569.1418146,480.8531822,1
4096,2,1,1,3,1,1,0,1,1,3,4,1,1,1,1.47958,429.9586122,496.2496226,398.6718424,360.198177,1
16341,1,6,7,1,0,4,1,0,1,3,4,1,1,1,-1.18621,489.7053064,429.8212478,459.861812,479.1588828,1
7274,1,6,4,3,1,3,0,0,1,3,3,2,1,1,-0.7822,345.9726004,465.9095576,463.475328,461.5305562,1
27456,2,8,8,2,1,2,0,1,1,4,4,1,1,1,-0.15352,502.3220204,602.4161654,562.2706724,516.0663822,1
12098,2,6,6,2,1,5,0,0,1,3,3,1,1,1,0.22102,564.650603,460.927584,389.4796832,438.9041696,1
16153,1,7,7,1,0,2,0,1,1,4,4,1,1,1,-1.62421,522.3690074,472.1281488,495.3050924,481.2783094,1
22362,1,6,6,2,1,3,1,0,1,2,4,3,3,1,-1.18621,505.6257202,529.9971568,490.9498444,454.6147478,1
15350,1,1,1,3,1,2,1,0,4,1,1,4,4,2,1.05191,573.3086894,429.8272374,696.0239214,672.0099414,1
16822,1,8,8,2,1,3,0,0,1,4,4,1,1,1,0.36917,596.1109364,578.4870872,532.2521454,486.9354088,1
14320,2,8,8,1,1,2,0,0,2,2,3,2,2,2,0.24768,475.3682736,,559.2805772,,1
25345,1,8,8,2,1,4,1,0,1,3,3,1,1,1,-0.76139,584.463858,579.5772724,573.5160128,524.2683426,1
12849,2,8,8,3,1,3,1,0,1,3,3,1,1,1,0.06301,517.1396448,,601.213777,550.5085264,1
11981,2,4,4,3,1,5,1,0,1,4,4,1,1,1,0.03136,468.2761316,509.7798414,411.6979158,542.7398996,1
2071,1,6,7,3,1,2,0,0,3,2,2,4,4,3,-1.52649,648.5818868,425.3430826,480.0229644,495.1094614,1
10866,1,3,4,1,1,3,1,0,2,3,3,2,2,2,-0.7822,514.8999378,636.7645354,369.1308536,512.9180868,1
18854,1,2,6,2,1,2,1,0,2,3,3,2,1,3,1.46284,534.5466404,565.1148924,497.1751142,515.0565212,1
7147,2,6,5,3,0,3,1,0,1,4,4,2,1,1,0.03136,411.7254006,509.0248086,518.933848,456.5025754,1
27526,2,8,8,2,0,2,1,0,4,2,3,3,1,1,0.34643,493.0623948,446.5788012,521.2616534,518.3933274,0
8354,1,4,3,3,1,4,1,0,1,3,3,2,1,1,0.03136,625.6496664,629.0864992,590.2670058,602.9880812,1
2855,2,3,3,3,1,4,1,0,1,4,4,1,1,1,-0.1179,476.3334104,508.629337,542.947229,492.1485266,1
24493,1,6,7,2,0,3,0,1,1,4,3,1,1,1,-0.77528,543.4605834,503.8646862,465.1332072,414.5355328,1
17299,2,6,6,1,1,3,1,0,1,4,4,1,1,1,-1.92912,571.1582558,540.5143002,548.9800906,468.8926184,1
10273,2,8,8,2,1,3,0,1,1,3,3,1,1,1,-0.06924,577.6619992,634.4184838,658.742871,583.012704,1
28835,2,3,5,2,0,2,0,0,1,4,3,2,1,1,-0.37127,580.5794166,595.8884932,634.2293512,672.8024524,1
8493,2,4,4,2,1,4,1,0,1,3,4,1,1,1,0.33381,537.4924578,521.125279,539.5646078,579.4535796,1
22212,1,9,9,3,1,3,0,0,1,3,3,1,1,2,-0.57337,470.5173934,528.0335212,486.8692946,536.4454996,1
12986,2,8,8,3,0,4,1,0,1,3,2,2,1,3,-0.19084,480.872773,508.7235736,403.4620184,458.7891986,0
14475,1,9,9,3,1,1,0,0,1,4,3,2,1,1,-0.23412,482.0594216,462.6609222,442.497666,479.8046602,1
2840,1,8,8,2,1,4,1,0,1,3,4,1,1,1,0.51656,578.0546076,610.7660976,487.0692652,432.161055,1
15284,2,4,3,3,1,3,1,0,1,3,3,1,1,1,-0.1179,562.1338836,617.4398362,648.1584804,375.7172566,1
28083,2,4,6,3,1,4,1,0,1,3,3,1,1,1,0.38193,431.9070214,490.2798378,518.9286046,478.3320082,1
12636,1,2,3,1,1,3,0,1,1,3,3,1,1,1,0.71414,474.45571,532.5409186,535.4455568,506.4467134,1
11231,1,3,1,1,1,2,0,1,2,2,3,2,2,2,1.81735,531.27953,688.704378,607.6092894,540.643322,0
2114,2,4,2,5,1,2,0,1,1,3,3,3,3,3,0.80747,410.625532,432.1913146,465.5988568,357.271305,0
19792,1,6,8,2,1,5,0,0,2,2,3,2,2,2,-1.09681,444.7073056,490.8069076,502.4100254,558.2470188,1
25057,2,8,8,1,0,2,0,0,1,3,3,2,1,1,-0.32028,499.2122676,488.1742386,446.3285344,560.5852542,1
4453,2,1,1,3,1,4,1,0,1,4,4,1,1,1,1.81735,577.4571048,658.171607,652.3809242,595.4079554,1
14763,1,6,2,4,1,5,0,0,1,3,3,2,1,1,-0.29495,345.6267342,450.1142888,433.2123972,353.2557028,0
7231,2,3,6,3,1,3,0,0,1,4,4,1,1,1,0.03136,556.2288746,484.546865,470.5445304,526.8188702,1
23712,2,9,9,3,1,3,1,0,1,4,4,1,1,1,0.64743,573.0849602,539.7650286,674.3686598,471.8231846,1
2648,2,2,2,2,0,3,0,0,1,3,3,1,1,1,0.86918,471.0897956,501.2620738,460.7492364,559.298719,0
9697,2,6,2,2,1,2,0,0,3,3,3,3,3,3,1.47958,477.743309,395.030307,364.3760644,347.8066132,1
27171,2,4,6,1,1,2,0,1,1,4,4,1,1,1,-0.45567,505.648062,455.6069088,587.9409594,499.1056526,1
18705,1,6,6,1,1,4,1,0,1,3,4,1,1,4,-0.07019,391.6334416,557.0634516,483.2017236,447.4724576,1
24585,1,6,6,3,1,1,0,1,1,3,4,1,1,1,-1.51819,493.2674772,515.773579,525.3209894,498.2671384,1
16095,2,8,2,3,0,2,0,1,1,4,4,2,1,1,0.86918,610.2370068,540.4764272,552.3354276,525.1200222,1
3214,2,8,8,3,1,1,0,0,1,3,3,1,1,1,-0.14711,429.4043504,483.5963892,476.3173706,524.902624,1
23012,1,5,4,1,0,3,1,0,2,3,3,2,1,3,0.38193,608.8583374,606.057734,491.415083,572.3139238,0
24556,2,6,3,3,0,2,0,1,1,3,3,1,1,1,0.56466,581.5733846,633.8831018,569.8770166,636.5250778,1
866,1,6,6,1,1,1,0,0,1,4,4,1,1,1,-0.5219,502.8910682,502.4593412,475.4326992,503.9001228,1
7688,1,2,2,2,1,3,1,0,2,3,3,1,1,2,1.46284,387.4668946,547.1420058,489.635183,429.855076,1
10305,2,4,4,3,1,3,0,0,1,3,3,1,1,1,0.38193,532.8128242,454.604938,461.8884214,437.186036,1
20577,2,8,8,1,1,3,0,0,1,4,4,1,1,1,-1.20128,570.12581,504.1177974,535.6194844,617.869567,1
21393,2,6,6,1,0,2,0,1,4,4,4,1,1,1,-1.18621,397.9275928,491.3281268,440.582097,477.263788,1
20068,2,7,6,4,0,3,0,0,2,3,3,2,2,2,-0.77528,393.176605,494.3121836,489.1906486,390.6225422,1
3342,1,6,6,3,0,2,0,0,9,3,9,2,9,9,-1.18621,298.4029812,480.6446928,449.7751448,365.0217688,1
14408,1,2,1,1,1,5,0,1,1,3,3,1,1,1,1.22369,522.3471618,637.7537428,575.0336326,505.1940398,1
21176,2,1,3,2,1,2,0,1,2,3,3,2,2,2,1.47958,452.1859282,708.2199734,633.7294874,536.038978,1
23941,2,9,9,2,1,3,0,1,1,3,3,2,1,1,0.94086,391.4019312,458.4007946,421.5067678,372.7912112,1
22665,2,4,6,2,1,3,1,0,1,3,4,2,1,3,0.97559,,465.1640064,,473.0679122,1
11586,1,6,8,2,0,4,0,0,1,3,3,2,2,2,0.9261,463.7601164,,465.9500422,,1
2379,1,8,8,1,1,4,0,0,1,4,4,1,1,1,0.03894,496.5787888,539.3959076,484.8099994,551.1272842,1
552,1,3,6,1,0,3,1,0,1,3,4,1,1,1,-0.7822,485.5884804,450.4162944,451.5637218,443.7005302,1
1569,2,4,4,6,1,2,1,0,2,2,2,2,2,2,-1.11419,556.2457264,517.4579724,596.6683822,512.5152888,0
6545,1,1,1,3,1,2,0,1,1,3,3,2,1,1,0.77031,555.2196094,624.5472826,718.6306882,617.867577,1
390,9,8,8,2,1,3,0,0,1,4,4,1,1,1,1.1031,477.3947926,,560.92482,,1
8728,1,1,1,3,1,3,0,0,1,4,4,1,1,1,1.40642,680.8638132,572.4804768,698.651476,706.7937592,1
2557,1,7,7,2,0,4,1,0,1,3,4,1,1,1,-2.20958,492.5258874,471.084026,437.2154688,445.3886078,1
8353,1,6,6,1,1,3,0,0,1,3,3,1,1,1,-0.42471,546.1719056,536.934012,498.0708852,550.697094,1
22298,2,8,8,2,1,2,1,1,1,3,3,2,2,2,-0.47413,552.317345,525.7535868,508.8648536,574.0135466,1
